Maturity Date,EURUSD,EURSEK,EURJPY,EURCHF,EURMXN,EURGBP,EURCAD,EURNOK,EURAUD,EURNZD,EURZAR,EURSGD,EURTHB,EURDKK,EURSAR,EURPLN,EURHKD,EURCNY,EURBRL,EURHUF,EURINR,EURPKR,EURRUB,EURTRY,EURARS,EURCLP,EURCOP,EURCZK,EUREGP,EURJOD,EURKRW,EURKZT,EURPEN,EURUAH,EURUYU,EURAED,EURHRK,EURBYR,EURIDR,EURKES,EURMYR,EURNGN,EURPHP,EURTTD,EURTWD,EURVND,EUREUR
19/01/2017,1.0647,9.51900358,121.9880025,1.07162055,23.3116065,0.86656086,1.41125985,9.03621537,1.41263102,1.4886745,14.44180374,1.51953984,37.66642425,7.43565186,3.99305088,4.36383265,8.2590376,7.28190918,3.44057805,308.0123865,72.5965695,111.5858835,63.15028493,4.04330472,16.9979355,704.6131365,"3,125.86",27.0242154,20.01636,0.7548723,"1,252.97",351.744939,3.5550333,29.332485,30.5302725,3.9106431,7.5295584,"21,400.47","14,229.72",110.675565,4.73951205,336.4452,53.1657945,7.154784,33.633873,"24,022.29",1
20/01/2017,1.06875,9.5396625,122.4520313,1.07318531,23.39386875,0.86471945,1.42111688,9.01324969,1.41238271,1.48385977,14.44089656,1.52195344,37.73489062,7.43646937,4.00850719,4.3694775,8.29141594,7.31035688,3.41625937,308.5641563,72.76584375,112.0103438,63.78096938,4.07984625,16.99365938,707.7209063,"3,150.73",27.022275,20.199375,0.75720938,"1,250.47",354.9692813,3.543975,29.31046875,30.61434375,3.92551875,7.51849594,"21,481.88","14,297.20",110.9896875,4.75219687,337.725,53.29909688,7.182,33.67470938,"24,125.96",1
23/01/2017,1.0744,9.51155576,121.745636,1.07268096,23.0493718,0.86387392,1.42648088,9.00680264,1.41900548,1.49004923,14.52706984,1.52392896,37.902146,7.43656704,4.02942976,4.37162616,8.33471172,7.32864356,3.4047736,309.566872,73.150524,112.613236,64.06115372,4.05806252,17.088332,706.197748,"3,138.86",27.026532,20.19872,0.7617496,"1,251.51",355.6161932,3.5417596,29.4117,30.733212,3.9462712,7.51789912,"21,595.44","14,351.30",111.6860288,4.7714104,339.5104,53.5271452,7.219968,33.7109116,"24,230.41",1
24/01/2017,1.07405,9.494602,121.5019063,1.07302965,22.93043048,0.86078942,1.42188109,8.98512638,1.4191055,1.48708896,14.47620701,1.52370103,37.83609638,7.43639999,4.02784861,4.37455195,8.33156696,7.32378584,3.39754237,310.421931,73.19162057,112.5765508,63.7384769,4.05018885,17.11659783,701.5963113,"3,146.70",27.0295423,20.2888045,0.76096443,"1,253.00",353.0133838,3.53684665,29.3752675,30.69097875,3.94498565,7.50589102,"21,588.41","14,313.33",111.6474975,4.76394878,327.58525,53.49896753,7.217616,33.67683775,"24,246.68",1
25/01/2017,1.07175,9.50320725,121.857975,1.07426861,23.13158025,0.85729712,1.40902973,8.96861835,1.42283438,1.48185275,14.340015,1.52290316,37.80008663,7.43601585,4.01933044,4.36925681,8.31383269,7.32160654,3.39766185,310.614585,73.05048,112.3354763,63.38892169,4.06386165,17.06226,698.888175,"3,140.71",27.020961,20.341815,0.75933487,"1,249.87",351.4107488,3.5174835,29.19447,30.31444875,3.93643057,7.49951704,"21,542.18","14,303.58",111.4352063,4.75749825,326.8301625,53.42084287,7.20216,33.5779275,"24,192.08",1
26/01/2017,1.07455,9.48285002,122.0420163,1.07390527,22.6837505,0.84934593,1.40497413,8.93198196,1.42023526,1.476233,14.24181706,1.52167026,37.84081552,7.43620836,4.02983114,4.35090668,8.33571417,7.33831686,3.40653841,309.728292,73.10158277,112.6289583,63.88737025,4.10402882,17.14175888,697.189531,"3,144.51",27.02385795,20.308995,0.76185595,"1,245.96",352.7640195,3.53817078,29.22776,30.35066475,3.94655351,7.49418034,"21,598.46","14,334.50",111.7532,4.76133105,327.6840225,53.45348975,7.220976,33.67102425,"24,276.77",1
27/01/2017,1.06625,9.452093,122.8693188,1.06859575,22.78842813,0.85075401,1.39966638,8.91992763,1.41901783,1.47435011,14.35705625,1.52399113,37.65515188,7.43624075,3.998864,4.34923375,8.27234069,7.32865613,3.3885425,311.2916875,72.71291875,111.7589938,64.29967313,4.15826838,17.00295563,694.4432938,"3,136.14",27.0209075,19.96553125,0.75495831,"1,248.63",350.6149875,3.518625,28.980675,30.08424375,3.91622963,7.48358225,"21,431.63","14,248.30",110.89,4.7234875,325.739375,53.19574563,7.1652,33.6444525,"24,089.25",1
30/01/2017,1.07175,9.46923278,122.843985,1.06939215,22.36072406,0.85306642,1.40790439,8.92435508,1.42019479,1.47654474,14.48255775,1.52783321,37.78508213,7.43676608,4.01959838,4.33463929,8.31613695,7.36211869,3.36636675,311.5255725,72.93842854,112.3194,64.2269766,4.14370703,17.02474875,694.8101663,"3,141.50",27.02631975,20.256075,0.76040663,"1,259.36",349.5887738,3.52659338,29.14141838,30.20727375,3.93648416,7.47679594,"21,542.18","14,297.15",111.462,4.74946013,338.673,53.3838675,7.20216,33.764412,"24,213.51",1
31/01/2017,1.069,9.4464323,121.51323,1.06445675,22.2581835,0.85588471,1.40039,8.8946145,1.41495698,1.46729806,14.43582945,1.5178731,37.6475075,7.4372468,4.00901725,4.33784165,8.29314165,7.327995,3.342763,310.496395,72.55303,112.057925,64.178484,4.0562136,17.0126005,693.134255,"3,132.54",27.021113,20.059785,0.75679855,"1,243.05",345.620528,3.515941,28.98059,30.087005,3.9263301,7.4791516,"21,486.90","14,260.46",111.176,4.733532,325.77775,53.20413,7.1988598,33.6024115,"24,151.38",1
1/02/2017,1.07785,9.44261271,122.1096265,1.06836492,22.4322142,0.85843421,1.41047451,8.90325657,1.42375008,1.48229389,14.5387953,1.52375655,37.88912213,7.43560212,4.04220696,4.32088508,8.36287647,7.36861374,3.39684428,309.8064255,72.83571375,112.9748478,65.00648081,4.07879997,17.13619823,699.0126713,"3,144.09",27.0152324,20.3174725,0.76317169,"1,247.20",349.2557355,3.52510843,29.1989565,30.28219575,3.95883527,7.47273405,"21,664.79","14,400.61",111.88083,4.77433658,328.420895,53.67746893,7.25878082,33.60143483,"24,351.33",1
